isbn,bookname
9780575075573,Absolution Gap
9781841493893,Accelerando
9780450006517,Between Planets
9780879977429,By the Light of the Green Star
9780399110719,Cemetery World
9780140311198,Citizen of the Galaxy
9781590192689,The Dragon Masters
9780395264706,Dreamsnake
9780575032118,The Eye of the Heron
9780886775896,Emperors of the Twilight 
9782221037065,The Female Man
9780345289155,imperial earth 
9780575006515,One Million Tomorrows
9781250056887,The Lost Planet 
9780879970307,Under the Green Star
9781516806348,A Tale of the Ragged Mountains
9780425052167,Stranger in a Strange Land 
9780586039397,To Your Scattered Bodies Go
9780312868253,The Void Captain's Tale
